PRD_SRL_NO,PRD_CD,from_eq,from_process,from_name,to_eq,to_process,to_name,from_end_time,to_start_time,waiting_sec,negative_wait_flag
PRD1000-260331006-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-03-31 15:17:06.087,2026-03-31 15:17:14.298,8.211,False
PRD1000-260331006-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-03-31 15:18:32.363,2026-03-31 15:18:39.602,7.239,False
PRD1000-260331006-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-03-31 15:19:16.250,2026-03-31 15:19:38.923,22.673000000000002,False
PRD1000-260401001-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-01 14:47:28.943,2026-04-01 14:56:05.449,516.506,False
PRD1000-260401001-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-01 14:57:12.459,2026-04-01 14:57:20.676,8.217,False
PRD1000-260401001-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-01 14:58:18.079,2026-04-01 14:58:43.327,25.248,False
PRD1000-260401001-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-01 14:58:45.464,2026-04-01 14:59:14.212,28.748,False
PRD1000-260401001-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-01 15:05:25.406,2026-04-01 15:05:48.213,22.807,False
PRD1000-260401001-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-01 15:08:42.934,2026-04-01 15:09:10.091,27.157,False
PRD1000-260401001-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-01 15:12:56.173,2026-04-01 15:13:23.120,26.947,False
PRD1000-260401001-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-01 15:16:52.526,2026-04-01 15:17:27.364,34.838,False
PRD1000-260401001-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-01 15:18:23.608,2026-04-01 15:18:50.761,27.153,False
PRD1000-260401002-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ03,A1,A1 소재 공급,2026-04-01 15:00:54.091,2026-04-01 15:03:09.467,135.376,False
PRD1000-260401002-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-01 15:03:25.982,2026-04-01 15:03:49.326,23.344,False
PRD1000-260401002-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-01 15:03:51.483,2026-04-01 15:04:20.304,28.821,False
PRD1000-260401002-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-01 15:11:34.263,2026-04-01 15:11:56.106,21.843,False
PRD1000-260401002-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-01 15:15:31.801,2026-04-01 15:15:59.279,27.478,False
PRD1000-260402003-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-02 12:01:46.707,2026-04-02 12:03:13.327,86.62,False
PRD1000-260402003-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-02 12:04:24.178,2026-04-02 12:04:35.900,11.722,False
PRD1000-260402003-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-02 12:04:52.440,2026-04-02 12:05:15.946,23.506,False
PRD1000-260402003-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-02 12:05:18.081,2026-04-02 12:05:45.160,27.079,False
PRD1000-260402003-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-02 12:10:55.800,2026-04-02 12:11:17.541,21.741,False
PRD1000-260402003-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-02 12:14:01.499,2026-04-02 12:14:27.301,25.802,False
PRD1000-260402004-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-02 12:05:52.295,2026-04-02 12:07:11.144,78.849,False
PRD1000-260402004-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-02 12:08:21.260,2026-04-02 12:08:33.089,11.829,False
PRD1000-260402004-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-02 12:08:49.589,2026-04-02 12:09:10.151,20.562,False
PRD1000-260402004-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-02 12:09:12.275,2026-04-02 12:09:40.165,27.89,False
PRD1000-260402004-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-02 12:16:45.052,2026-04-02 12:17:06.445,21.393,False
PRD1000-260402004-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-02 12:26:34.267,2026-04-02 12:26:59.844,25.576999999999998,False
PRD1000-260402005-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-02 12:28:29.957,2026-04-02 12:29:29.611,59.654,False
PRD1000-260402005-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-02 12:30:36.157,2026-04-02 12:30:47.986,11.829,False
PRD1000-260402005-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-02 13:41:28.149,2026-04-02 13:41:50.414,22.265,False
PRD1000-260402005-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-02 13:41:52.652,2026-04-02 13:42:20.473,27.821,False
PRD1000-260402005-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-02 13:48:09.300,2026-04-02 13:48:09.484,0.184,False
PRD1000-260402005-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-02 13:51:19.544,2026-04-02 13:51:45.219,25.675,False
PRD1000-260402006-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-02 13:44:44.293,2026-04-02 13:45:31.907,47.614,False
PRD1000-260402006-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-02 13:47:08.323,2026-04-02 13:47:08.552,0.229,False
PRD1000-260402006-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-02 13:49:39.618,2026-04-02 13:49:52.507,12.889,False
PRD1000-260407011-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-07 17:54:32.556,2026-04-07 17:55:24.776,52.22,False
PRD1000-260407011-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-07 17:56:40.424,2026-04-07 17:56:52.237,11.813,False
PRD1000-260407011-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-07 18:04:04.762,2026-04-07 18:04:28.381,23.619,False
PRD1000-260414001-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-14 14:49:54.792,2026-04-14 14:55:21.683,326.891,False
PRD1000-260414002-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-14 15:05:34.188,2026-04-14 15:17:46.865,732.677,False
PRD1000-260414002-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-14 15:18:56.167,2026-04-14 15:19:23.561,27.394,False
PRD1000-260414002-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-14 15:22:15.274,2026-04-14 15:22:37.361,22.087,False
PRD1000-260414002-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-14 15:22:39.388,2026-04-14 15:23:07.548,28.16,False
PRD1000-260414002-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-14 15:28:28.616,2026-04-14 15:28:50.911,22.295,False
PRD1000-260414002-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-14 15:31:39.433,2026-04-14 15:32:06.898,27.465,False
PRD1000-260414002-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-14 16:16:03.859,2026-04-14 16:16:31.792,27.933,False
PRD1000-260414002-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 16:20:07.102,2026-04-14 16:20:41.532,34.43,False
PRD1000-260414002-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-14 16:21:35.521,2026-04-14 16:22:03.988,28.467,False
PRD1000-260414002-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 16:23:08.363,2026-04-14 16:23:29.805,21.442,False
PRD1000-260414002-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-14 16:26:20.310,2026-04-14 16:26:56.452,36.142,False
PRD1000-260414002-0001,PRD1000,EQ05,A3,A3 완제품 및 NG 배출부,EQ14,AMR_LD250,AMR_LD250,2026-04-14 16:27:54.545,2026-04-14 17:52:10.550,5056.005,False
PRD1000-260414002-0001,PRD1000,EQ14,AMR_LD250,AMR_LD250,EQ15,C2_FINISHED_STORAGE,C2 완제품 창고,2026-04-14 17:54:17.626,2026-04-14 17:54:53.559,35.933,False
PRD1000-260414005-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-14 16:45:37.472,2026-04-14 16:48:22.661,165.189,False
PRD1000-260414005-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-14 16:52:53.847,2026-04-14 16:53:48.787,54.94,False
PRD1000-260414005-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-14 17:03:08.373,2026-04-14 17:03:31.379,23.006,False
PRD1000-260414005-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-14 17:03:33.730,2026-04-14 17:04:03.551,29.821,False
PRD1000-260414005-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-14 17:09:22.477,2026-04-14 17:09:44.236,21.759,False
PRD1000-260414005-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-14 17:12:36.719,2026-04-14 17:13:05.087,28.368,False
PRD1000-260414005-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-14 17:15:58.762,2026-04-14 17:16:27.151,28.389,False
PRD1000-260414005-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 17:19:26.451,2026-04-14 17:19:58.333,31.882,False
PRD1000-260414005-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-14 17:20:43.640,2026-04-14 17:21:10.941,27.301,False
PRD1000-260414005-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 17:22:15.228,2026-04-14 17:22:36.230,21.002,False
PRD1000-260414005-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-14 17:26:31.535,2026-04-14 17:27:08.320,36.785,False
PRD1000-260414008-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-14 17:17:30.784,2026-04-14 17:17:39.200,8.416,False
PRD1000-260414008-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-14 17:18:53.710,2026-04-14 17:18:59.886,6.176,False
PRD1000-260414008-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-14 17:20:01.629,2026-04-14 17:20:28.864,27.235,False
PRD1000-260414008-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-14 17:23:47.408,2026-04-14 17:24:15.962,28.554,False
PRD1000-260414008-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-14 17:29:46.560,2026-04-14 17:30:09.657,23.097,False
PRD1000-260414008-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-14 17:33:08.181,2026-04-14 17:33:35.363,27.182,False
PRD1000-260414008-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-14 17:36:30.444,2026-04-14 17:36:59.834,29.39,False
PRD1000-260414008-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 17:39:58.518,2026-04-14 17:40:33.606,35.088,False
PRD1000-260414008-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-14 17:41:18.826,2026-04-14 17:41:45.987,27.161,False
PRD1000-260414008-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 17:42:50.655,2026-04-14 17:43:11.660,21.005,False
PRD1000-260414008-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-14 17:47:46.832,2026-04-14 17:48:25.646,38.814,False
PRD1000-260414009-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-14 21:50:15.633,2026-04-14 21:51:14.618,58.985,False
PRD1000-260414009-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-14 22:18:36.298,2026-04-14 22:18:47.811,11.513,False
PRD1000-260414009-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-14 22:27:45.044,2026-04-14 22:28:06.925,21.881,False
PRD1000-260414009-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-14 22:28:09.476,2026-04-14 22:28:38.303,28.826999999999998,False
PRD1000-260414009-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-14 22:34:13.684,2026-04-14 22:34:34.768,21.084,False
PRD1000-260414009-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-14 22:36:08.137,2026-04-14 22:36:35.441,27.304,False
PRD1000-260414009-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-14 22:38:43.798,2026-04-14 22:39:09.515,25.717,False
PRD1000-260414009-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-14 22:52:16.842,2026-04-14 22:52:50.615,33.773,False
PRD1000-260415001-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-15 09:32:28.373,2026-04-15 09:33:18.909,50.536,False
PRD1000-260415001-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-15 09:48:40.077,2026-04-15 09:48:51.932,11.855,False
PRD1000-260415001-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-15 09:51:00.672,2026-04-15 09:51:24.043,23.371,False
PRD1000-260415002-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ03,A1,A1 소재 공급,2026-04-15 10:41:13.547,2026-04-15 12:26:55.767,6342.22,False
PRD1000-260415002-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-15 12:33:31.128,2026-04-15 12:33:54.944,23.816,False
PRD1000-260416001-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ03,A1,A1 소재 공급,2026-04-16 14:02:37.727,2026-04-16 14:05:03.932,146.205,False
PRD1000-260416001-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-16 14:06:36.155,2026-04-16 14:07:01.538,25.383,False
PRD1000-260416001-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-16 14:07:05.058,2026-04-16 14:07:37.489,32.431,False
PRD1000-260416001-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-16 14:14:43.449,2026-04-16 14:15:06.150,22.701,False
PRD1000-260416001-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-16 14:18:23.723,2026-04-16 14:18:50.515,26.792,False
PRD1000-260416001-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-16 14:24:00.922,2026-04-16 14:24:26.299,25.377,False
PRD1000-260416001-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:27:55.474,2026-04-16 14:28:28.879,33.405,False
PRD1000-260416001-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-16 14:31:06.654,2026-04-16 14:31:34.358,27.704,False
PRD1000-260416001-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:32:39.047,2026-04-16 14:33:00.366,21.319,False
PRD1000-260416001-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-16 14:35:14.407,2026-04-16 14:35:52.385,37.978,False
PRD1000-260416003-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-16 14:11:53.139,2026-04-16 14:16:24.550,271.411,False
PRD1000-260416003-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-16 14:17:32.141,2026-04-16 14:17:44.182,12.041,False
PRD1000-260416003-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-16 14:20:02.639,2026-04-16 14:20:23.973,21.334,False
PRD1000-260416003-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-16 14:20:26.324,2026-04-16 14:21:27.244,60.92,False
PRD1000-260416003-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-16 14:26:54.634,2026-04-16 14:27:16.017,21.383,False
PRD1000-260416003-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-16 14:30:37.086,2026-04-16 14:31:03.112,26.026,False
PRD1000-260416003-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-16 14:36:20.554,2026-04-16 14:36:47.642,27.088,False
PRD1000-260416003-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:43:06.030,2026-04-16 14:43:42.803,36.773,False
PRD1000-260416003-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-16 14:44:52.559,2026-04-16 14:45:19.830,27.271,False
PRD1000-260416003-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:46:24.025,2026-04-16 14:46:45.058,21.033,False
PRD1000-260416003-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-16 14:50:09.924,2026-04-16 14:50:48.974,39.05,False
PRD1000-260416005-0001,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-16 14:29:43.369,2026-04-16 14:30:44.022,60.653,False
PRD1000-260416005-0001,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-16 14:33:29.575,2026-04-16 14:33:41.326,11.751,False
PRD1000-260416005-0001,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-16 14:37:37.144,2026-04-16 14:38:01.095,23.951,False
PRD1000-260416005-0001,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-16 14:38:03.302,2026-04-16 14:39:18.322,75.02,False
PRD1000-260416005-0001,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-16 14:47:23.131,2026-04-16 14:47:44.847,21.716,False
PRD1000-260416005-0001,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-16 14:49:51.014,2026-04-16 14:50:17.814,26.8,False
PRD1000-260416005-0001,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-16 14:54:40.022,2026-04-16 14:55:06.688,26.666,False
PRD1000-260416005-0001,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 15:03:16.957,2026-04-16 15:03:50.795,33.838,False
PRD1000-260416005-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-16 15:05:01.378,2026-04-16 15:05:28.558,27.18,False
PRD1000-260416005-0001,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 15:06:33.021,2026-04-16 15:06:54.565,21.544,False
PRD1000-260416005-0001,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-16 15:09:04.674,2026-04-16 15:09:46.044,41.37,False
PRD1000-260416005-0002,PRD1000,EQ01,C1_RAW_STORAGE,C1 원자재 창고,EQ02,AMR_LD90,AMR_LD90,2026-04-16 14:30:47.438,2026-04-16 14:30:55.849,8.411,False
PRD1000-260416005-0002,PRD1000,EQ02,AMR_LD90,AMR_LD90,EQ03,A1,A1 소재 공급,2026-04-16 14:32:07.508,2026-04-16 14:32:12.950,5.442,False
PRD1000-260416005-0002,PRD1000,EQ03,A1,A1 소재 공급,EQ04,A2,A2 수입 검사,2026-04-16 14:32:47.050,2026-04-16 14:33:11.332,24.282,False
PRD1000-260416005-0002,PRD1000,EQ04,A2,A2 수입 검사,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,2026-04-16 14:33:13.459,2026-04-16 14:33:42.079,28.62,False
PRD1000-260416005-0002,PRD1000,EQ06,A4,A4 사상제거 & 레이저마킹 CELL,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,2026-04-16 14:40:24.643,2026-04-16 14:40:46.975,22.332,False
PRD1000-260416005-0002,PRD1000,EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,2026-04-16 14:43:18.991,2026-04-16 14:43:45.563,26.572,False
PRD1000-260416005-0002,PRD1000,EQ09,A6_KONA,A6 드릴 및 TAP - 코나,EQ10,A7,A7 동리벳_인서트압입,2026-04-16 14:48:44.866,2026-04-16 14:49:12.508,27.642,False
PRD1000-260416005-0002,PRD1000,EQ10,A7,A7 동리벳_인서트압입,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:55:59.657,2026-04-16 14:56:35.275,35.618,False
PRD1000-260416005-0002,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ11,A8,A8 핸들_룸미러 조립 공정,2026-04-16 14:57:45.757,2026-04-16 14:58:13.604,27.847,False
PRD1000-260416005-0002,PRD1000,EQ11,A8,A8 핸들_룸미러 조립 공정,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,2026-04-16 14:59:17.876,2026-04-16 14:59:38.771,20.895,False
PRD1000-260416005-0002,PRD1000,EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,EQ05,A3,A3 완제품 및 NG 배출부,2026-04-16 15:04:34.711,2026-04-16 15:05:13.831,39.12,False
